Kecamatan,Cluster,Price,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Hadap,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti
rungkut,1,675000000,3,1,88,60,SHM - Sertifikat Hak Milik,1300.0,,Tidak,Unfurnished,1.0,Utara,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus
lakarsantri,1,675000000,3,1,90,90,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
lakarsantri,1,675000000,3,1,90,72,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
rungkut,1,675000000,3,1,110,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,0,680000000,3,2,54,75,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,3 Mobil,PAM atau PDAM,Ya,Baru
sukolilo,1,680000000,2,1,60,56,SHM - Sertifikat Hak Milik,1300.0,,Ya,Unfurnished,1.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Bagus
benowo,1,680000000,2,1,72,126,"Lainnya (PPJB,Girik,Adat,dll)",2200.0,Ya,Ya,Unfurnished,1.0,Unknown,Ya,,PAM atau PDAM,Tidak,Bagus
benowo,1,680000000,2,1,72,126,"Lainnya (PPJB,Girik,Adat,dll)",2200.0,Ya,Ya,Unfurnished,1.0,Unknown,Ya,1 Mobil,PAM atau PDAM,Tidak,Bagus
lakarsantri,0,682000000,2,2,52,50,"Lainnya (PPJB,Girik,Adat,dll)",2200.0,,,Unfurnished,2.0,Unknown,Unknown,,,Unknown,Baru
lakarsantri,0,683000000,2,2,50,52,HGB - Hak Guna Bangunan,2200.0,,,Unfurnished,2.0,Utara,Unknown,,,Unknown,Baru
rungkut,1,685000000,2,1,90,50,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,1,685000000,2,1,90,50,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,1,685000000,2,1,90,50,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,1,685000000,2,1,90,50,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
kenjeran,0,690000000,3,2,57,114,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
pakal,0,690000000,2,2,79,60,HGB - Hak Guna Bangunan,1300.0,,Ya,Unfurnished,2.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
rungkut,1,697000000,2,1,52,53,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,1,697000000,1,1,52,53,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,1,697000000,2,1,52,53,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,1,697000000,2,1,52,53,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
sambikerep,1,697000000,1,1,288,307,SHM - Sertifikat Hak Milik,3300.0,Tidak,Tidak,Unfurnished,1.0,Utara,Ya,2 Mobil,,Ya,Butuh Renovasi
benowo,0,698000000,2,2,65,66,HGB - Hak Guna Bangunan,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,,,Tidak,Baru
benowo,0,699000000,4,2,72,144,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Bagus
sukolilo,0,700000000,2,2,45,70,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,2.0,Barat,Tidak,,,Tidak,Baru
tambaksari,0,700000000,2,2,45,90,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,0,700000000,3,2,48,63,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Baru
rungkut,0,700000000,3,2,48,63,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Baru
rungkut,0,700000000,3,2,50,66,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,0,700000000,3,2,50,80,HGB - Hak Guna Bangunan,2200.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,,Tidak,Baru
sukolilo,0,700000000,3,2,50,65,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,2.0,Utara,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,0,700000000,3,2,54,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
kenjeran,0,700000000,3,2,60,63,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Baru
wiyung,0,700000000,2,2,60,120,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,2.0,Unknown,Unknown,,,Unknown,Bagus
sukolilo,1,700000000,2,1,67,52,SHM - Sertifikat Hak Milik,1300.0,,,Unfurnished,1.0,Utara,Unknown,,,Unknown,Bagus
benowo,0,700000000,3,2,72,72,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
benowo,1,700000000,2,1,72,60,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
rungkut,1,700000000,3,1,72,64,HGB - Hak Guna Bangunan,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
tambaksari,1,700000000,2,1,78,78,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Unknown,Ya,,PAM atau PDAM,Tidak,Bagus
wiyung,1,700000000,2,1,81,80,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,1.0,Unknown,Unknown,,,Unknown,Bagus
wiyung,1,700000000,2,1,81,80,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
tambaksari,0,700000000,3,2,84,100,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Unknown,Tidak,,,Tidak,Bagus
wiyung,1,700000000,3,1,84,60,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,1.0,Unknown,Unknown,,,Unknown,Bagus
wiyung,1,700000000,3,1,84,60,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,,Tidak,Bagus
krembangan,1,700000000,1,1,86,111,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi
benowo,1,700000000,3,1,90,85,HGB - Hak Guna Bangunan,1300.0,,,Unfurnished,1.0,Unknown,Unknown,,,Unknown,Bagus
rungkut,1,700000000,2,1,90,90,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
sambikerep,1,700000000,2,2,90,92,SHM - Sertifikat Hak Milik,900.0,Tidak,Tidak,Unfurnished,1.0,Timur,Ya,,,Tidak,Baru
semampir,1,700000000,3,1,90,85,HGB - Hak Guna Bangunan,1300.0,,,Unfurnished,1.0,Unknown,Unknown,,,Unknown,Bagus
sukomanunggal,1,700000000,2,1,90,75,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Unknown,Ya,2 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi
pakal,1,700000000,2,1,91,50,SHM - Sertifikat Hak Milik,1300.0,,,Unfurnished,1.0,Selatan,Unknown,,,Unknown,Baru
rungkut,1,700000000,2,1,95,65,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,1,700000000,2,1,95,65,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,1,700000000,2,1,95,65,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Unknown
pakal,1,700000000,2,1,97,105,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus
kenjeran,1,700000000,2,1,100,90,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi
rungkut,1,700000000,2,1,100,60,"Lainnya (PPJB,Girik,Adat,dll)",1300.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,,,Tidak,Baru
rungkut,1,700000000,3,1,100,55,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,1,700000000,3,1,100,55,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,1 Mobil,PAM atau PDAM,Tidak,Bagus
rungkut,1,700000000,3,1,100,55,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,1 Mobil,PAM atau PDAM,Tidak,Baru
rungkut,1,700000000,3,1,100,60,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,1 Mobil,PAM atau PDAM,Tidak,Baru
tambaksari,1,700000000,2,1,100,100,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
gubeng,1,700000000,3,1,104,110,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Unknown,Tidak,,PAM atau PDAM,Tidak,Bagus
